Source,Model,Normalized strength,CI_low_err,CI_high_err,CI_low_abs,CI_high_abs
"Clinicians
(119 samples)",CheXpertPlus_MIMIC,0.36802,0.07200375389650554,0.0842901752054675,0.2960162461034945,0.4523101752054675
BLEU-2 (2002),CheXpertPlus_MIMIC,0.4114859416359805,0.02078710543444423,0.024114126701889782,0.3906988362015363,0.4356000683378703
BERTScore (2019),CheXpertPlus_MIMIC,0.2344767839062208,0.016642751213857887,0.015570337541137791,0.2178340326923629,0.2500471214473586
SembScore (2020),CheXpertPlus_MIMIC,0.2756543865157788,0.018042826932436418,0.017790154608416653,0.25761155958334236,0.29344454112419543
1/RadCliQ-v1 (2022),CheXpertPlus_MIMIC,0.2836751257641193,0.01854256601206955,0.018940412342781432,0.26513255975204975,0.3026155381069007
RadGraph (2022),CheXpertPlus_MIMIC,0.3578040884420391,0.01938920922151871,0.022275272830155957,0.3384148792205204,0.38007936127219505
AlignScore (2023),CheXpertPlus_MIMIC,0.3575980818721542,0.020348012514824987,0.019625076421818655,0.3372500693573292,0.37722315829397285
GREEN (2024),CheXpertPlus_MIMIC,0.3325880571415046,0.023489005265063645,0.024379187595664875,0.30909905187644093,0.35696724473716945
CRIMSON (2026),CheXpertPlus_MIMIC,0.436569079866129,0.04377698172122835,0.0457660073401181,0.3927920981449006,0.48233508720624707
ICARE-GT (2025),CheXpertPlus_MIMIC,0.2817925481794238,0.018751029160498478,0.018854304693693202,0.2630415190189253,0.300646852873117
ICARE-GEN (2025),CheXpertPlus_MIMIC,0.2893111511888245,0.01960571566169028,0.019780226920971644,0.2697054355271342,0.30909137810979614
ICARE-AVG (2025),CheXpertPlus_MIMIC,0.2561077903376723,0.016822553964864317,0.017609333026051943,0.23928523637280796,0.2737171233637242
ICARE-Predefined (2025),CheXpertPlus_MIMIC,0.3458920174164438,0.01982045023457002,0.019878462055390678,0.3260715671818738,0.3657704794718345
"Clinicians
(119 samples)",CheXpertPlus_CheX_MIMIC,0.315183,0.06462413096421643,0.07023027000867915,0.25055886903578356,0.38541327000867914
BLEU-2 (2002),CheXpertPlus_CheX_MIMIC,0.3988512623213509,0.021051445401247204,0.0227215004467618,0.37779981692010367,0.4215727627681127
BERTScore (2019),CheXpertPlus_CheX_MIMIC,0.4414591115799365,0.020699737673128438,0.02291813912360019,0.42075937390680807,0.4643772507035367
SembScore (2020),CheXpertPlus_CheX_MIMIC,0.2891192842067589,0.01575768649625975,0.017683257265976804,0.27336159771049917,0.3068025414727357
1/RadCliQ-v1 (2022),CheXpertPlus_CheX_MIMIC,0.3977110492647431,0.020093037446591078,0.021430231463276495,0.377618011818152,0.4191412807280196
RadGraph (2022),CheXpertPlus_CheX_MIMIC,0.4348019360285517,0.023275952832480795,0.025061057881060278,0.4115259831960709,0.459862993909612
AlignScore (2023),CheXpertPlus_CheX_MIMIC,0.3689008355808189,0.0198621952358361,0.02053474558110907,0.3490386403449828,0.38943558116192795
GREEN (2024),CheXpertPlus_CheX_MIMIC,0.4797710620557892,0.026104581781417557,0.027986387301101312,0.4536664802743716,0.5077574493568905
CRIMSON (2026),CheXpertPlus_CheX_MIMIC,0.290864237703865,0.03720754761660228,0.039901084611256965,0.2536566900872627,0.33076532231512196
ICARE-GT (2025),CheXpertPlus_CheX_MIMIC,0.3668037079332197,0.02140968405076149,0.02221292723054563,0.3453940238824582,0.38901663516376533
ICARE-GEN (2025),CheXpertPlus_CheX_MIMIC,0.3811515001107104,0.021939909726206852,0.02266723174551394,0.35921159038450357,0.40381873185622436
ICARE-AVG (2025),CheXpertPlus_CheX_MIMIC,0.3814469444680013,0.021532361862148408,0.021341840219948782,0.3599145826058529,0.4027887846879501
ICARE-Predefined (2025),CheXpertPlus_CheX_MIMIC,0.381608831680636,0.021190200066652343,0.02218846063432428,0.36041863161398363,0.40379729231496025
"Clinicians
(119 samples)",MAIRA2,0.316797,0.06823093105834141,0.06988649499412075,0.24856606894165859,0.38668349499412075
BLEU-2 (2002),MAIRA2,0.1896627960426685,0.016726991441629258,0.016403890138940197,0.17293580460103924,0.2060666861816087
BERTScore (2019),MAIRA2,0.3240641045138427,0.021078989693506855,0.019698930979403506,0.30298511482033585,0.3437630354932462
SembScore (2020),MAIRA2,0.4352263292774624,0.024076867593444184,0.024040735384944056,0.4111494616840182,0.45926706466240647
1/RadCliQ-v1 (2022),MAIRA2,0.3186138249711375,0.018861473383355754,0.018622818345282788,0.29975235158778174,0.3372366433164203
RadGraph (2022),MAIRA2,0.2073939755294091,0.016109665371875692,0.015457335441078551,0.19128431015753342,0.22285131097048766
AlignScore (2023),MAIRA2,0.2735010825470269,0.019957943827383695,0.01943517616855356,0.2535431387196432,0.29293625871558043
GREEN (2024),MAIRA2,0.1876408808027061,0.017276107385022693,0.01882482490798512,0.1703647734176834,0.20646570571069123
CRIMSON (2026),MAIRA2,0.272566682430006,0.043855269213157216,0.04532963087463615,0.22871141321684876,0.31789631330464213
ICARE-GT (2025),MAIRA2,0.3514037438873565,0.020448874004513173,0.021324739496381917,0.33095486988284334,0.37272848338373843
ICARE-GEN (2025),MAIRA2,0.3295373487004649,0.01944703808549164,0.01993194903042833,0.3100903106149733,0.34946929773089325
ICARE-AVG (2025),MAIRA2,0.3624452651943263,0.01910422138695511,0.02014341225886712,0.3433410438073712,0.3825886774531934
ICARE-Predefined (2025),MAIRA2,0.2724991509029201,0.019276188411935846,0.02069899465335656,0.25322296249098425,0.29319814555627666
