model,reference_type,model_seed,eval_seed,report_id,icare_score
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,0,88.88888888888889
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,1,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,2,0.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,3,54.54545454545454
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,4,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,5,90.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,6,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,7,80.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,8,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,9,81.81818181818183
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,10,87.5
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,11,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,12,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,13,70.58823529411765
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,14,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,15,50.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,16,50.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,17,75.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,18,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,19,92.3076923076923
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,20,88.88888888888889
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,21,80.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,22,80.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,23,62.5
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,24,50.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,25,76.92307692307693
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,26,53.84615384615385
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,27,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,28,57.14285714285714
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,29,61.53846153846154
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,30,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,31,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,32,80.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,33,64.70588235294117
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,34,93.75
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,35,40.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,36,75.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,37,83.33333333333334
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,38,62.5
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,39,83.33333333333334
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,40,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,41,91.66666666666666
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,42,55.55555555555556
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,43,80.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,44,75.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,45,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,46,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,47,25.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,48,40.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,49,84.61538461538461
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,50,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,51,66.66666666666666
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,52,83.33333333333334
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,53,75.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,54,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,55,75.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,56,63.63636363636363
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,57,75.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,58,76.92307692307693
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,59,92.3076923076923
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,60,55.55555555555556
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,61,85.71428571428571
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,62,88.88888888888889
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,63,88.88888888888889
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,64,87.5
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,65,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,66,87.5
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,67,90.9090909090909
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,68,33.33333333333333
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,69,85.71428571428571
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,70,83.33333333333334
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,71,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,72,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,73,75.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,74,100.0
chexpert-mimic-cxr-findings-baseline,gt_reports_as_ref,1,123,75,60.0
